Node 0: Distance 0, Path 0
Node 98: Distance 14, Path 0->8091->2225->7717->1887->6996->2695->98
Node 99: Distance 12, Path 0->8091->8002->2723->5021->7901->99
Node 100: Distance 14, Path 0->3307->9130->2->1265->7587->8805->100
Node 101: Distance 16, Path 0->7990->4171->5044->8993->101
Node 102: Distance 16, Path 0->6389->4589->3124->6657->2809->6523->1260->150->102
Node 103: Distance 15, Path 0->3976->4705->3593->6908->8994->2390->103
Node 104: Distance 16, Path 0->7466->5899->8728->9710->9689->338->104
Node 105: Distance 14, Path 0->6389->9626->2863->6798->9438->105
Node 106: Distance 11, Path 0->8091->2225->7717->1887->106
Node 107: Distance 14, Path 0->8091->2225->9747->8410->6998->107
Node 108: Distance 11, Path 0->8091->5598->3043->9306->108
Node 109: Distance 15, Path 0->8725->8960->1986->3692->477->7406->8083->6108->109
Node 110: Distance 14, Path 0->3976->4705->4436->9799->7982->110
Node 111: Distance 14, Path 0->7990->8698->3009->9262->7529->111
Node 112: Distance 16, Path 0->8725->1123->766->8637->7617->8571->6946->1697->9173->1047->112
Node 113: Distance 17, Path 0->8725->8088->3779->1510->6805->727->113
Node 114: Distance 16, Path 0->8091->8002->2723->5021->114
Node 115: Distance 13, Path 0->8091->5598->1467->7485->115
Node 116: Distance 14, Path 0->3307->9130->2->5040->6423->3445->116
Node 117: Distance 16, Path 0->3307->9130->2->9581->3995->1183->3218->117
Node 118: Distance 13, Path 0->8091->6183->1067->118
Node 119: Distance 17, Path 0->6389->4589->2146->2978->3046->9535->8976->9921->6625->119
Node 120: Distance 13, Path 0->3307->9130->2->1265->120
Node 121: Distance 13, Path 0->8091->2225->7717->1887->2037->7109->121
Node 122: Distance 16, Path 0->8091->5558->3934->7822->122
Node 123: Distance 16, Path 0->3307->9130->2->5047->9533->123
Node 124: Distance 14, Path 0->3307->9130->2->9581->2221->3255->2981->124
Node 125: Distance 17, Path 0->9810->2391->2728->3282->125
Node 126: Distance 14, Path 0->3307->9130->358->4971->5266->126
Node 127: Distance 13, Path 0->8091->5598->3043->9367->4473->127
Node 128: Distance 14, Path 0->6389->8086->1306->819->7011->128
Node 129: Distance 15, Path 0->8091->4445->520->508->8662->129
Node 130: Distance 13, Path 0->8725->1123->766->8637->7617->130
Node 131: Distance 11, Path 0->3307->9130->2->9581->131
Node 132: Distance 18, Path 0->6389->4589->2146->6290->4704->152->132
Node 133: Distance 15, Path 0->5264->8574->3619->133
Node 134: Distance 14, Path 0->8725->8960->7547->9521->8776->6152->134
Node 135: Distance 15, Path 0->8091->2225->7717->1887->9086->7872->8816->776->135
Node 136: Distance 15, Path 0->8091->4445->5413->5622->9211->136
Node 137: Distance 13, Path 0->3307->9130->2->5764->3237->7258->5998->137
Node 138: Distance 12, Path 0->8091->2225->7717->7787->4787->138
Node 139: Distance 15, Path 0->8725->1123->7560->3345->805->139
Node 140: Distance 16, Path 0->6389->4589->730->929->140
Node 141: Distance 14, Path 0->7466->8542->6711->7751->141
Node 142: Distance 14, Path 0->8091->2225->7717->6424->5117->3971->142
Node 143: Distance 18, Path 0->8091->4445->5413->5622->8845->1377->9637->143
Node 144: Distance 16, Path 0->8968->5311->840->3821->9861->3123->144
Node 145: Distance 8, Path 0->8091->4445->5413->5622->145
Node 146: Distance 16, Path 0->8091->2225->7717->1887->2733->2690->8944->146
Node 147: Distance 18, Path 0->3976->2355->4154->7618->427->147
Node 148: Distance 13, Path 0->6389->9626->8367->5001->148
Node 149: Distance 15, Path 0->7466->4647->2319->6916->149
Node 150: Distance 13, Path 0->6389->4589->3124->6657->2809->6523->1260->150
Node 151: Distance 14, Path 0->8091->5598->3043->8145->3015->2651->151
Node 152: Distance 13, Path 0->6389->4589->2146->6290->4704->152
Node 153: Distance 16, Path 0->8725->1123->766->3132->4770->2413->8148->2075->9846->153
Node 154: Distance 14, Path 0->6389->4589->9469->154
Node 155: Distance 17, Path 0->8968->7539->8011->4018->3728->2722->2763->3628->155
Node 156: Distance 16, Path 0->7990->1839->2015->156
Node 157: Distance 18, Path 0->8725->8960->1986->3692->7134->1232->9929->157
Node 158: Distance 13, Path 0->3976->2355->4154->158
Node 159: Distance 12, Path 0->8091->2225->7717->1887->2733->9141->159
Node 160: Distance 14, Path 0->8968->5311->6451->6947->393->160
